model_name,accuracy,loss,precision,recall
Spec_64p_RGB_60db_CNN_lr0.0005_bs32_pat5_vs30_20ep_v1,0.746999979019165,0.8602725863456726,0.8671532869338989,0.593999981880188
Spec_64p_RGB_60db_CNN_lr0.0005_bs32_pat10_vs30_20ep_v1,0.734000027179718,0.8678308129310608,0.8751773238182068,0.6169999837875366
Spec_64p_RGB_60db_CNN_lr0.0005_bs64_pat5_vs30_20ep_v1,0.609000027179718,1.1335561275482178,0.8301486372947693,0.39100000262260437
Spec_64p_RGB_60db_CNN_lr0.0005_bs64_pat10_vs30_20ep_v1,0.6079999804496765,1.1386510133743286,0.7817836999893188,0.41200000047683716
Spec_64p_RGB_60db_CNN_lr0.005_bs32_pat5_vs30_20ep_v1,0.5210000276565552,1.4099719524383545,0.8060836791992188,0.21199999749660492
Spec_64p_RGB_60db_CNN_lr0.005_bs32_pat10_vs30_20ep_v1,0.13300000131130219,2.0591626167297363,0.0,0.0
Spec_64p_RGB_60db_CNN_lr0.005_bs64_pat5_vs30_20ep_v1,0.1420000046491623,2.0594003200531006,0.0,0.0
Spec_64p_RGB_60db_CNN_lr0.005_bs64_pat10_vs30_20ep_v1,0.1379999965429306,2.0600674152374268,0.0,0.0
